Mes;Nom mes;Any;Nom_RP;Codi_RP;Nom_ABP;Títol Codi Penal;Tipus de fet;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;De les falsedats;Falsedats documentals;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;De les lesions;Lesions;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat;Amenaces;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat;Coaccions;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra l'Administració pública;Malversació;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà - Roses;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;De les falsedats;De la usurpació de l'estat civil;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;De les falsedats;Falsedats documentals;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;De les lesions;Lesions;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Amenaces;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Coaccions;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Detenció il·legal;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
1;gener;2021; Metropolitana Sud;RP08;Alt Penedès;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;De les falsedats;De la usurpació de l'estat civil;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;De les falsedats;Falsedats documentals;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;De les falsedats;Falsificació de moneda i efectes timbrats;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;De les lesions;Lesions;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Amenaces;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Coaccions;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Detenció il·legal;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat i la indemnitat sexuals;Exhibicionisme i provocació sexual;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'ordre públic;Desordres públics;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
2;febrer;2021; Metropolitana Sud;RP08;Alt Penedès;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;De les falsedats;Falsedats documentals;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;De les lesions;Lesions;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l’honor;Injúria;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Amenaces;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Coaccions;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat;Detenció il·legal;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'ordre públic;Desordres públics;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
3;març;2021; Metropolitana Sud;RP08;Alt Penedès;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;De les lesions;Lesions;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la llibertat;Amenaces;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;;;;;;;;
1;gener;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;De les lesions;Lesions;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la llibertat;Amenaces;;;;;;;;
2;febrer;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la llibertat;Coaccions;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;De les falsedats;Falsedats documentals;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;De les lesions;Lesions;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la llibertat;Amenaces;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la llibertat;Coaccions;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;;;;;;;;
3;març;2021; Pirineu Occidental;RP03;Alt Urgell;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
1;gener;2021; Central;RP04;Anoia;De les falsedats;De la usurpació de l'estat civil;;;;;;;;
1;gener;2021; Central;RP04;Anoia;De les falsedats;Falsedats documentals;;;;;;;;
1;gener;2021; Central;RP04;Anoia;De les falsedats;Usurpació de funcions públiques i intrusisme;;;;;;;;
1;gener;2021; Central;RP04;Anoia;De les lesions;Lesions;;;;;;;;
1;gener;2021; Central;RP04;Anoia;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
1;gener;2021; Central;RP04;Anoia;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
